,0
631,bombing
632,town
633,northern
634,syria
635,time
636,conventional
637,weapons
638,chemical
639,question
640,assad
641,continues
642,killing
643,babies
644,conventional
645,weapons
646,chemical
647,president
648,stop
649,president
650,trump
651,say
652,going
653,nothing
654,stand
655,aside
656,well
657,think
658,important
659,remember
660,objective
661,objective
662,deter
663,continued
664,use
665,pattern
666,abuse
667,chemical
668,weapons
669,assad
670,regime
671,mass
672,murder
673,attacks
674,innocent
675,civilians
676,objective
677,think
678,ambassador
679,haley
680,secretary
681,tillerson
682,everyone
683,confirmed
684,prepared
685,fact
686,prepared
687,fact
688,prepared
689,two
690,days
691,ago
692,well
693,significant
694,strike
695,meant
696,take
697,syrian
698,regime
699,capacity
700,ability
701,commit
702,mass
703,murder
704,people
705,strong
706,signal
707,assad
708,sponsors
709,united
710,states
711,cannot
712,stand
713,idly
714,murdering
715,innocent
716,civilians
717,redline
718,important
719,objective
720,keep
721,mind
722,significant
723,thing
724,though
725,continuing
726,mass
727,murder
728,question
729,uses
730,conventional
731,weapons
732,president
733,trump
734,prepared
735,stop
736,using
737,conventional
738,weapons
739,slaughter
740,innocent
741,civilians
742,well
743,think
744,president
745,someone
746,helping
747,us
748,understand
749,helping
750,us
751,provide
752,assessment
753,degree
754,agency
755,control
756,complex
757,situation
758,president
759,response
760,mass
761,murder
762,attack
763,acted
764,decisively
765,using
766,airfield
767,mean
768,objective
769,take
770,airfield
771,forever
772,objective
773,send
774,strong
775,political
776,message
777,assad
778,significant
779,think
780,think
781,everyone
782,realize
783,first
784,time
785,united
786,states
787,acted
788,directly
789,assad
790,regime
791,strong
792,message
793,assad
794,sponsors
795,enabling
796,campaign
797,mass
798,murder
799,civilians
800,possibility
801,president
802,trump
803,saying
804,leaving
805,wide
806,open
807,act
808,president
809,assad
810,goes
811,civilians
812,matter
813,weapon
814,uses
815,well
816,president
817,make
818,whatever
819,decision
820,thinks
821,best
822,interest
823,american
824,people
825,job
826,provide
827,options
828,based
829,see
830,conflict
831,evolve
832,period
833,time
834,us
835,strike
836,working
837,partners
838,allies
839,everyone
840,except
841,russia
842,iran
843,somehow
844,continue
845,think
846,ok
847,aligned
848,murderous
849,regime
850,working
851,parties
852,allies
853,magnify
854,effects
855,strike
856,build
857,momentum
858,toward
859,ultimately
860,resolving
861,civil
862,war
863,defeating
864,isis
865,bringing
866,peace
867,security
868,back
869,region
870,syrian
871,people
872,let
873,bring
874,mentioned
875,russia
876,russia
877,sent
878,kristin
879,fisher
880,reported
881,sent
882,warship
883,mediterranean
884,weekend
885,prime
886,minister
887,russia
888,medvedev
889,wrote
890,quote
891,verge
892,military
893,clash
894,russia
895,sir
896,prepared
897,russia
898,defends
899,interests
900,syria
901,well
902,part
903,problem
904,syria
905,russia
906,sponsorship
907,murderous
908,regime
909,would
910,want
911,appeal
912,rationally
913,russia
914,great
915,opportunity
916,russian
917,leadership
918,reevaluate
919,supporting
920,regime
921,committing
922,mass
923,murder
924,people
925,russia
926,could
927,part
928,solution
929,right
930,think
931,everyone
932,world
933,sees
934,russia
935,part
936,problem
937,russia
938,involved
939,evidence
940,involved
941,chemical
942,attack
943,well
944,think
945,ask
946,russia
947,could
948,advisors
949,airfield
950,know
951,syrian
952,air
953,force
954,preparing
955,executing
956,mass
957,murder
958,attack
959,chemical
960,weapons
961,think
962,ought
963,ask
964,question
965,president
966,trump
967,well
968,know
969,talk
970,campaign
971,since
972,trying
973,establish
974,alliance
975,vladimir
976,putin
977,indicated
978,kind
979,moral
980,equivalence
981,two
982,nations
983,get
984,along
985,idea
986,killer
987,though
988,putin
989,killer
990,lot
991,killers
992,got
993,lot
994,killers
995,think
996,country
997,innocent
998,general
999,relationship
1000,russia
1001,putin
1002,today
1003,well
1004,today
1005,whatever
1006,russians
1007,want
1008,want
1009,relationship
1010,competition
1011,potential
1012,conflict
1013,see
1014,russian
1015,interest
1016,want
1017,relationship
1018,find
1019,areas
1020,cooperation
1021,mutual
1022,interest
1023,anyone
1024,interest
1025,conflict
1026,syria
1027,catastrophe
1028,greater
1029,middle
1030,east
1031,continue
1032,part
1033,solution
1034,continue
1035,really
1036,sophisticated
1037,campaign
1038,subversion
1039,western
1040,interests
1041,campaign
1042,subversion
1043,intervention
1044,behalf
1045,murderous
1046,regime
1047,middle
1048,east
1049,think
1050,secretary
1051,state
1052,exploring
1053,russian
1054,leadership
1055,week
1056,president
1057,determined
1058,everything
1059,advance
1060,american
1061,interests
1062,entails
1063,working
1064,others
1065,come
1066,solutions
1067,world
1068,enhance
1069,security
1070,president
1071,really
1072,russian
1073,leadership
1074,reevaluate
1075,middle
1076,east
1077,want
1078,turn
1079,overshadowed
1080,fact
1081,missile
1082,strike
1083,happened
1084,midst
1085,summit
1086,president
1087,trump
1088,chinese
1089,president
1090,xi
1091,dinner
1092,president
1093,told
1094,president
1095,xi
1096,attack
1097,president
1098,xi
1099,give
1100,indication
1101,takes
1102,president
1103,trump
1104,statement
1105,seriously
1106,china
1107,act
1108,stop
1109,north
1110,korea
1111,nuclear
1112,program
1113,president
1114,trump
1115,get
1116,sense
1117,taking
1118,seriously
1119,also
1120,learned
1121,morning
1122,carrier
1123,strike
1124,force
1125,way
1126,korean
1127,peninsula
1128,well
1129,privilege
1130,part
1131,national
1132,security
1133,team
1134,help
1135,enable
1136,team
1137,president
1138,national
1139,security
1140,advisor
1141,really
1142,extraordinary
1143,think
1144,degree
1145,concurrent
1146,activity
1147,going
1148,week
1149,nobody
1150,really
1151,even
1152,broke
1153,sweat
1154,mean
1155,extraordinarily
1156,competent
1157,people
1158,positions
1159,providing
1160,president
1161,options
1162,amazing
1163,military
1164,execute
1165,decisions
1166,president
1167,flawlessly
1168,think
1169,maybe
1170,bit
1171,surprising
1172,guests
1173,really
1174,one
1175,really
1176,even
1177,stressed
1178,anything
1179,need
1180,conduct
1181,operation
1182,wake
1183,murderous
1184,attack
1185,think
1186,summit
1187,extremely
1188,successful
1189,met
1190,first
1191,objective
1192,allow
1193,president
1194,premier
1195,xi
1196,build
1197,relationship
1198,use
1199,identify
1200,areas
1201,cooperation
1202,advance
1203,really
1204,mutual
1205,interests
1206,american
1207,interest
1208,particular
1209,key
1210,areas
1211,running
1212,time
1213,got
1214,ask
1215,sort
1216,lightning
1217,round
1218,quick
1219,questions
1220,quick
1221,answers
1222,carrier
1223,strike
1224,force
1225,korean
1226,peninsula
1227,well
1228,prudent
1229,mean
1230,north
1231,korea
1232,engaged
1233,pattern
1234,provocative
1235,behavior
1236,rogue
1237,regime
1238,nuclear
1239,capable
1240,regime
1241,president
1242,xi
1243,president
1244,trump
1245,agreed
1246,unacceptable
1247,must
1248,happen
1249,denuclearization
1250,korean
1251,peninsula
1252,president
1253,asked
1254,prepared
1255,give
1256,full
1257,range
1258,options
1259,remove
1260,threat
1261,american
1262,people
1263,allies
1264,partners
1265,region
1266,finally
1267,know
1268,got
1269,china
1270,got
1271,syria
1272,got
1273,russia
1274,lot
1275,people
1276,washington
1277,talking
1278,relations
1279,inside
1280,white
1281,house
1282,welcome
1283,politics
1284,general
1285,mcmaster
1286,push
1287,steve
1288,bannon
1289,taken
1290,principals
1291,committee
1292,national
1293,security
1294,council
1295,well
1296,significant
1297,appears
1298,think
1299,think
1300,president
1301,making
1302,clear
1303,going
1304,terms
1305,permanent
1306,membership
1307,national
1308,security
1309,council
1310,permanent
1311,members
1312,every
1313,meeting
1314,every
1315,official
1316,meeting
1317,national
1318,security
1319,council
1320,give
1321,advice
1322,long
1323,term
1324,interests
1325,american
1326,people
1327,really
1328,though
1329,know
1330,depends
1331,president
1332,get
1333,advice
1334,anybody
1335,wants
1336,asked
1337,broad
1338,range
1339,people
1340,trusts
1341,steve
1342,bannon
1343,one
1344,policy
1345,decisions
1346,risks
1347,opportunities
1348,involved
1349,none
1350,changed
1351,think
1352,inappropriate
1353,political
1354,advisor
1355,role
1356,well
1357,think
1358,appropriate
1359,role
1360,whoever
1361,president
1362,wants
1363,role
1364,steve
1365,bannon
1366,provides
1367,president
1368,advice
1369,broad
1370,range
1371,issues
1372,continue
1373,general
1374,mcmaster
1375,thank
1376,covered
1377,long
1378,range
1379,issues
1380,today
1381,thank
1382,time
1383,sir
1384,follow
1385,happens
1386,next
1387,syria
1388,around
1389,world
1390,thanks
1391,chris
1392,pleasure
1393,thank
1394,coming
1395,congress
1396,say
1397,missile
1398,attack
1399,demand
1400,sides
1401,president
1402,consult
1403,acts
1404,two
1405,leading
1406,senators
1407,join
1408,us
1409,next
1410,president
1411,trump
1412,launched
1413,missile
1414,attack
1415,syria
1416,senate
1417,republicans
1418,employed
1419,nuclear
1420,option
1421,confirm
1422,neil
1423,gorsuch
1424,supreme
1425,court
1426,joining
1427,us
1428,two
1429,senate
1430,leaders
1431,discuss
1432,developments
1433,austin
1434,texas
1435,number
1436,two
1437,republican
1438,senate
1439,john
1440,cornyn
1441,washington
1442,ben
1443,cardin
1444,top
1445,democrat
1446,foreign
1447,relations
1448,committee
1449,senator
1450,cardin
1451,heard
1452,president
1453,national
1454,security
1455,advisor
1456,general
1457,mcmaster
1458,satisfied
1459,clear
1460,plan
1461,proceed
1462,syria
1463,think
1464,articulated
1465,syrian
1466,strategy
1467,saw
1468,reaction
1469,use
1470,chemical
1471,weapons
1472,something
1473,think
1474,many
1475,us
1476,supported
1477,see
1478,coherent
1479,policy
1480,going
1481,deal
1482,civil
1483,war
1484,also
1485,deal
1486,isis
1487,want
1488,ask
1489,well
1490,senator
1491,cornyn
1492,said
1493,mixed
1494,messages
1495,come
1496,weekend
1497,administration
1498,haley
1499,talking
1500,deposing
1501,assad
1502,tillerson
1503,talking
1504,taking
1505,isis
1506,first
1507,clear
1508,sense
1509,administration
1510,policy
1511,well
1512,first
1513,foremost
1514,think
1515,send
1516,message
1517,assad
1518,russians
1519,iranians
1520,north
1521,koreans
1522,new
1523,administration
1524,charge
1525,national
1526,security
1527,policy
1528,applaud
1529,president
1530,enforce
1531,red
1532,line
1533,president
1534,obama
1535,drew
1536,three
1537,years
1538,ago
1539,nothing
1540,enforce
1541,think
1542,along
1543,friend
1544,ben
1545,cardin
1546,congress
1547,needs
1548,work
1549,president
1550,try
1551,deal
1552,long
1553,term
1554,strategy
1555,lack
1556,strategy
1557,really
1558,syria
1559,one
1560,six
1561,years
1562,obama
1563,administration
1564,civilians
1565,died
1566,millions
1567,people
1568,displaced
1569,internally
1570,externally
1571,europe
1572,elsewhere
1573,definitely
1574,need
1575,strategy
1576,need
1577,work
1578,white
1579,house
1580,come
1581,one
1582,bipartisan
1583,support
1584,well
1585,let
1586,talk
1587,senators
1588,including
1589,two
1590,think
1591,supported
1592,particular
1593,strike
1594,specific
1595,circumstances
1596,concern
1597,sides
1598,aisle
1599,whether
1600,president
1601,trump
1602,gets
1603,deeply
1604,involved
1605,whether
1606,needs
1607,authorization
1608,congress
1609,democratic
1610,leader
1611,chuck
1612,schumer
1613,week
1614,however
1615,incumbent
1616,trump
1617,administration
1618,come
1619,coherent
1620,strategy
1621,consult
1622,congress
1623,implementing
1624,senator
1625,cornyn
1626,schumer
1627,right
1628,white
1629,house
1630,need
